axis,x,y,source_points,role
0.3875,-339.62,6301.473,617,local_frozen_track_geometry_linked_by_relative_distance
0.39,-374.231,6201.769,617,local_frozen_track_geometry_linked_by_relative_distance
0.3925,-414.506,6086.684,617,local_frozen_track_geometry_linked_by_relative_distance
0.395,-456.329,5967.825,617,local_frozen_track_geometry_linked_by_relative_distance
0.3975,-500.303,5842.719,617,local_frozen_track_geometry_linked_by_relative_distance
0.4,-572.193,5635.894,617,local_frozen_track_geometry_linked_by_relative_distance
0.4025,-633.712,5459.202,617,local_frozen_track_geometry_linked_by_relative_distance
0.405,-680.614,5325.037,617,local_frozen_track_geometry_linked_by_relative_distance
0.4075,-707.039,5250.098,617,local_frozen_track_geometry_linked_by_relative_distance
0.41,-729.847,5185.434,617,local_frozen_track_geometry_linked_by_relative_distance
0.4125,-746.302,5138.803,617,local_frozen_track_geometry_linked_by_relative_distance
0.415,-769.111,5073.706,617,local_frozen_track_geometry_linked_by_relative_distance
0.4175,-809.035,4959.259,617,local_frozen_track_geometry_linked_by_relative_distance
0.42,-851.381,4837.654,617,local_frozen_track_geometry_linked_by_relative_distance
0.4225,-898.763,4702.072,617,local_frozen_track_geometry_linked_by_relative_distance
0.425,-952.101,4550.157,617,local_frozen_track_geometry_linked_by_relative_distance
0.4275,-1004.354,4401.347,617,local_frozen_track_geometry_linked_by_relative_distance
0.43,-1039.354,4300.6,617,local_frozen_track_geometry_linked_by_relative_distance
0.4325,-1071.467,4208.105,617,local_frozen_track_geometry_linked_by_relative_distance
0.435,-1109.906,4098.268,617,local_frozen_track_geometry_linked_by_relative_distance
0.4375,-1153.345,3974.568,617,local_frozen_track_geometry_linked_by_relative_distance
0.44,-1196.591,3851.24,617,local_frozen_track_geometry_linked_by_relative_distance
0.4425,-1240.337,3728.361,617,local_frozen_track_geometry_linked_by_relative_distance
0.445,-1284.845,3605.686,617,local_frozen_track_geometry_linked_by_relative_distance
0.4475,-1329.664,3482.882,617,local_frozen_track_geometry_linked_by_relative_distance
0.45,-1377.096,3352.545,617,local_frozen_track_geometry_linked_by_relative_distance
0.4525,-1425.3,3219.899,617,local_frozen_track_geometry_linked_by_relative_distance
0.455,-1466.79,3106.186,617,local_frozen_track_geometry_linked_by_relative_distance
0.4575,-1508.469,2991.982,617,local_frozen_track_geometry_linked_by_relative_distance
0.46,-1553.218,2869.101,617,local_frozen_track_geometry_linked_by_relative_distance
0.4625,-1594.709,2754.717,617,local_frozen_track_geometry_linked_by_relative_distance
0.465,-1643.018,2621.46,617,local_frozen_track_geometry_linked_by_relative_distance
0.4675,-1712.692,2430.294,617,local_frozen_track_geometry_linked_by_relative_distance
0.47,-1777.256,2257.077,617,local_frozen_track_geometry_linked_by_relative_distance
0.4725,-1830.732,2116.423,617,local_frozen_track_geometry_linked_by_relative_distance
0.475,-1883.498,1976.321,617,local_frozen_track_geometry_linked_by_relative_distance
0.4775,-1935.787,1832.253,617,local_frozen_track_geometry_linked_by_relative_distance
0.48,-1983.926,1698.095,617,local_frozen_track_geometry_linked_by_relative_distance
0.4825,-2022.945,1588.284,617,local_frozen_track_geometry_linked_by_relative_distance
0.485,-2049.87,1511.753,617,local_frozen_track_geometry_linked_by_relative_distance
0.4875,-2080.495,1417.26,617,local_frozen_track_geometry_linked_by_relative_distance
0.49,-2142.692,1212.687,617,local_frozen_track_geometry_linked_by_relative_distance
0.4925,-2160.392,1141.894,617,local_frozen_track_geometry_linked_by_relative_distance
0.495,-2186.511,1005.72,617,local_frozen_track_geometry_linked_by_relative_distance
0.4975,-2195.626,868.806,617,local_frozen_track_geometry_linked_by_relative_distance
0.5,-2174.639,697.544,617,local_frozen_track_geometry_linked_by_relative_distance
0.5025,-2128.29,613.592,617,local_frozen_track_geometry_linked_by_relative_distance
0.505,-2004.29,570.611,617,local_frozen_track_geometry_linked_by_relative_distance
0.5075,-1894.854,586.428,617,local_frozen_track_geometry_linked_by_relative_distance
0.51,-1745.434,608.832,617,local_frozen_track_geometry_linked_by_relative_distance
0.5125,-1635.055,595.331,617,local_frozen_track_geometry_linked_by_relative_distance
0.515,-1529.87,513.511,617,local_frozen_track_geometry_linked_by_relative_distance
0.5175,-1461.965,385.534,617,local_frozen_track_geometry_linked_by_relative_distance
0.52,-1430.927,291.298,617,local_frozen_track_geometry_linked_by_relative_distance
0.5225,-1394.727,152.048,617,local_frozen_track_geometry_linked_by_relative_distance
0.525,-1368.347,44.293,617,local_frozen_track_geometry_linked_by_relative_distance
0.5275,-1332.611,-103.201,617,local_frozen_track_geometry_linked_by_relative_distance
0.53,-1310.609,-189.78,617,local_frozen_track_geometry_linked_by_relative_distance
0.5325,-1281.623,-295.662,617,local_frozen_track_geometry_linked_by_relative_distance
0.535,-1244.375,-419.677,617,local_frozen_track_geometry_linked_by_relative_distance
0.5375,-1202.933,-536.763,617,local_frozen_track_geometry_linked_by_relative_distance
0.54,-1157.51,-653.424,617,local_frozen_track_geometry_linked_by_relative_distance
0.5425,-1103.602,-776.244,617,local_frozen_track_geometry_linked_by_relative_distance
0.545,-1039.883,-909.7,617,local_frozen_track_geometry_linked_by_relative_distance
