axis_index,driver,team,lap,stint,compound,tyre_age,straight_id,max_speed_kph,p95_speed_kph,full_throttle_distance_share,drs_distance_share,acceleration_150_250_kph_per_100m,segment_time_s,segment_distance_m,feature_role
139,ANT,Mercedes,35,2,MEDIUM,3.0,S04,294.67041015625,294.0,1.0,0.0,,2.920609489987914,230.07200385022824,observed_straight_speed_control_proxy_not_engine_power_or_drag
139,ANT,Mercedes,35,2,MEDIUM,3.0,S05,263.1068115234375,261.5909194946289,1.0,0.0,33.08270420128829,1.9102141035657554,130.72272946035696,observed_straight_speed_control_proxy_not_engine_power_or_drag
139,ANT,Mercedes,35,2,MEDIUM,3.0,S06,281.9094543457031,280.0673538208008,0.9,0.0,42.105866626258646,6.57986537657835,413.08382509472796,observed_straight_speed_control_proxy_not_engine_power_or_drag
140,ANT,Mercedes,36,2,MEDIUM,4.0,S01,276.6003723144531,276.1623809814453,1.0,0.0,,0.9629120138396507,73.16528509554686,observed_straight_speed_control_proxy_not_engine_power_or_drag
140,ANT,Mercedes,36,2,MEDIUM,4.0,S02,292.992431640625,292.7515838623047,0.4782608695652174,0.0,,1.4273321778700463,114.97401943585935,observed_straight_speed_control_proxy_not_engine_power_or_drag
140,ANT,Mercedes,36,2,MEDIUM,4.0,S03,313.0,312.6107864379883,0.9315789473684211,0.0,45.786232433582924,13.239502544106061,987.7313487898826,observed_straight_speed_control_proxy_not_engine_power_or_drag
140,ANT,Mercedes,36,2,MEDIUM,4.0,S04,296.06201171875,295.5791748046875,1.0,0.0,,2.948079061012756,229.9480388717187,observed_straight_speed_control_proxy_not_engine_power_or_drag
140,ANT,Mercedes,36,2,MEDIUM,4.0,S05,261.9703369140625,260.6209487915039,1.0,0.0,28.723896492255612,1.9269452551691706,130.65229481347654,observed_straight_speed_control_proxy_not_engine_power_or_drag
140,ANT,Mercedes,36,2,MEDIUM,4.0,S06,281.7052001953125,280.0626586914062,0.875,0.0,42.947558747354556,6.5525565045305205,412.86125161058584,observed_straight_speed_control_proxy_not_engine_power_or_drag
141,ANT,Mercedes,37,2,MEDIUM,5.0,S01,279.0,279.0,1.0,0.0,,0.9680374741386153,73.41255047619283,observed_straight_speed_control_proxy_not_engine_power_or_drag
141,ANT,Mercedes,37,2,MEDIUM,5.0,S02,297.0,297.0,0.6521739130434783,0.0,,1.4162299840905046,115.3625793197316,observed_straight_speed_control_proxy_not_engine_power_or_drag
141,ANT,Mercedes,37,2,MEDIUM,5.0,S03,313.97857666015625,313.0,0.9315789473684211,0.0,46.37575085540569,13.22001260360366,991.0694314286033,observed_straight_speed_control_proxy_not_engine_power_or_drag
141,ANT,Mercedes,37,2,MEDIUM,5.0,S04,295.0,294.34783935546875,1.0,0.0,,2.9652977131577556,230.7251586394632,observed_straight_speed_control_proxy_not_engine_power_or_drag
141,ANT,Mercedes,37,2,MEDIUM,5.0,S05,263.0749206542969,261.82720947265625,1.0,0.0,29.977586043651556,1.9105588274523924,131.09384013605862,observed_straight_speed_control_proxy_not_engine_power_or_drag
141,ANT,Mercedes,37,2,MEDIUM,5.0,S06,281.0,280.56515350341795,0.8625,0.0,46.82386086456685,6.455661077497479,414.2565348299453,observed_straight_speed_control_proxy_not_engine_power_or_drag
142,ANT,Mercedes,38,2,MEDIUM,6.0,S01,276.3246154785156,275.9739105224609,1.0,0.0,,0.9565607853069809,72.65579459694654,observed_straight_speed_control_proxy_not_engine_power_or_drag
142,ANT,Mercedes,38,2,MEDIUM,6.0,S02,297.9369201660156,297.61805419921876,0.6086956521739131,0.0,,1.3946993562967684,114.17339150948743,observed_straight_speed_control_proxy_not_engine_power_or_drag
142,ANT,Mercedes,38,2,MEDIUM,6.0,S03,316.0,315.2380996704102,0.9368421052631579,0.0,48.3332246333752,13.323616052118137,980.8532270587783,observed_straight_speed_control_proxy_not_engine_power_or_drag
142,ANT,Mercedes,38,2,MEDIUM,6.0,S04,304.80389404296875,304.3214599609375,1.0,1.0,,2.8757064481463406,228.34678301897486,observed_straight_speed_control_proxy_not_engine_power_or_drag
142,ANT,Mercedes,38,2,MEDIUM,6.0,S05,261.1405334472656,259.4791717529297,1.0,0.0,26.733539749320894,1.899678023737138,129.74249035169026,observed_straight_speed_control_proxy_not_engine_power_or_drag
142,ANT,Mercedes,38,2,MEDIUM,6.0,S06,281.0,281.0,0.9125,0.0,48.39630499063707,6.502101231083721,409.98626951134116,observed_straight_speed_control_proxy_not_engine_power_or_drag
143,ANT,Mercedes,39,2,MEDIUM,7.0,S01,281.12664794921875,280.65187072753906,1.0,0.0,,0.9506834263673629,72.82220003243424,observed_straight_speed_control_proxy_not_engine_power_or_drag
143,ANT,Mercedes,39,2,MEDIUM,7.0,S02,300.9215393066406,300.6852294921875,0.6956521739130435,0.0,,1.3798988164601655,114.4348857652538,observed_straight_speed_control_proxy_not_engine_power_or_drag
143,ANT,Mercedes,39,2,MEDIUM,7.0,S03,336.9996643066406,336.07115631103517,0.9105263157894737,0.6526315789473685,47.261172679145844,13.035829906951097,983.0997004378622,observed_straight_speed_control_proxy_not_engine_power_or_drag
143,ANT,Mercedes,39,2,MEDIUM,7.0,S04,308.0937194824219,307.05632934570315,1.0,1.0,,2.8445716280765136,228.8697715305076,observed_straight_speed_control_proxy_not_engine_power_or_drag
143,ANT,Mercedes,39,2,MEDIUM,7.0,S05,254.43710327148438,252.8018798828125,1.0,0.0,34.91317841720863,1.9964114130632313,130.03964291506114,observed_straight_speed_control_proxy_not_engine_power_or_drag
143,ANT,Mercedes,39,2,MEDIUM,7.0,S06,283.0,282.27141723632815,0.925,0.0,49.6200214871854,6.484386023325563,410.9252716115932,observed_straight_speed_control_proxy_not_engine_power_or_drag
144,ANT,Mercedes,40,2,MEDIUM,8.0,S01,279.3484191894531,279.1810668945312,1.0,0.0,,0.9489084685210467,72.53283200033454,observed_straight_speed_control_proxy_not_engine_power_or_drag
144,ANT,Mercedes,40,2,MEDIUM,8.0,S02,298.0,298.0,0.5652173913043478,0.0,,1.386277023320203,113.98016457195429,observed_straight_speed_control_proxy_not_engine_power_or_drag
144,ANT,Mercedes,40,2,MEDIUM,8.0,S03,317.96142578125,316.98915100097656,0.9368421052631579,0.0,50.77773726259217,13.138243286061225,979.1932320045164,observed_straight_speed_control_proxy_not_engine_power_or_drag
144,ANT,Mercedes,40,2,MEDIUM,8.0,S04,302.0,301.9980834960937,1.0,1.0,,2.870563897551253,227.96032914390858,observed_straight_speed_control_proxy_not_engine_power_or_drag
144,ANT,Mercedes,40,2,MEDIUM,8.0,S05,257.6195373535156,256.5524101257324,1.0,0.0,35.077206511751385,1.930006288801332,129.5229142863117,observed_straight_speed_control_proxy_not_engine_power_or_drag
144,ANT,Mercedes,40,2,MEDIUM,8.0,S06,281.87628173828125,281.05728302001955,0.9875,0.0,40.603444817648885,6.285699888258356,409.29240914474497,observed_straight_speed_control_proxy_not_engine_power_or_drag
145,ANT,Mercedes,41,2,MEDIUM,9.0,S01,281.0697021484375,280.6797332763672,1.0,0.0,,0.9510499941489634,72.90451251453229,observed_straight_speed_control_proxy_not_engine_power_or_drag
145,ANT,Mercedes,41,2,MEDIUM,9.0,S02,299.0,299.0,0.7391304347826086,0.0,,1.3882189652724635,114.56423395140786,observed_straight_speed_control_proxy_not_engine_power_or_drag
145,ANT,Mercedes,41,2,MEDIUM,9.0,S03,333.0,332.51640625,0.9578947368421052,0.7473684210526316,47.712143459854694,12.885041930577952,984.2109189461858,observed_straight_speed_control_proxy_not_engine_power_or_drag
