axis_index,driver,team,lap,stint,compound,tyre_age,corner_id,speed_band,entry_speed_kph,minimum_speed_kph,exit_speed_kph,minimum_rel_distance,brake_onset_rel_distance,brake_to_minimum_m,throttle_recovery_rel_distance,minimum_to_throttle_recovery_m,segment_time_s,segment_distance_m,observed_brake_onset,feature_role
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P11,medium_speed,167.411376953125,167.411376953125,223.85791015625,0.713,0.673,208.45055291922571,0.731,93.80274881365156,2.5056187463925763,135.49285939749672,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P12,medium_speed,261.64056396484375,178.0595703125,178.0595703125,0.813,0.798,78.16895734470964,,,3.592809373461831,255.35192732605148,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P13,low_speed,169.72317504882812,93.47077941894531,131.0,0.828,0.798,156.33791468941928,0.882,281.4082464409547,4.934122805984007,166.76044233538056,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P14,low_speed,131.21829223632812,131.21829223632812,213.16677856445312,0.847,0.807,208.45055291922571,0.882,182.3942338043225,5.551726521826154,244.9293996800902,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P15,medium_speed,215.64236450195312,215.64236450195312,253.0,0.895,,,0.895,0.0,3.738276280267099,255.35192732605148,False,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P16,low_speed,253.0,114.34466552734375,138.68121337890625,0.966,0.943,119.85906792855478,0.978,62.53516587576771,3.8478573126757674,156.33791468941928,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P01,medium_speed,274.5743103027344,152.0,213.49725341796875,0.077,0.057,103.91974278363169,0.086,46.763884252634256,4.427387082936361,228.62343412398968,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P02,medium_speed,215.608642578125,215.608642578125,251.09646606445312,0.099,0.059,207.83948556726338,0.099,0.0,2.762190458371385,181.85954987135545,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P03,high_speed,254.0,254.0,272.124755859375,0.139,,,0.139,0.0,2.74745818477678,202.64349842808178,False,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P04,high_speed,279.6055908203125,279.6055908203125,288.5700988769531,0.192,,,0.192,0.0,2.1607836759745265,171.46757559299226,False,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P05,low_speed,284.0479431152344,90.11089324951172,119.79225158691406,0.276,0.248,145.48763989708436,0.289,67.54783280936059,5.01192659462591,192.25152414971862,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P06,low_speed,301.69927978515625,61.064231872558594,62.68351364135742,0.505,0.474,161.0756013146291,0.529,124.70369134035802,4.444570237792131,171.46757559299226,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P07,low_speed,68.80294036865234,68.80294036865234,176.4363555908203,0.507,0.474,171.4675755929923,0.529,114.31171706199484,4.745654956300555,150.68362703626593,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P08,medium_speed,182.49481201171875,182.49481201171875,265.0785827636719,0.537,0.497,207.83948556726338,0.537,0.0,3.052465031243858,197.4475112889002,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P09,high_speed,296.32366943359375,296.32366943359375,305.6065368652344,0.619,,,0.619,0.0,3.0116490460406222,254.60336981989764,False,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P10,medium_speed,302.70013427734375,155.24795532226562,157.08775329589844,0.71,0.672,197.4475112889002,0.726,83.13579422690535,3.797438462817334,213.03547270644495,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P11,medium_speed,158.54409790039062,158.54409790039062,220.09593200683594,0.713,0.673,207.83948556726338,0.726,67.54783280936059,2.6051809049250365,135.0956656187212,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P12,medium_speed,258.7215270996094,184.19252014160156,184.19252014160156,0.813,0.802,57.15585853099742,,,3.5871507820366286,254.60336981989764,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P13,low_speed,176.53382873535156,93.0,133.24725341796875,0.83,0.802,145.48763989708436,0.881,264.9953440982608,4.906458983220004,166.2715884538107,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P14,low_speed,133.0,133.0,214.6284942626953,0.847,0.807,207.83948556726338,0.881,176.66356273217386,5.600416176386743,244.21139554153444,True,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P15,medium_speed,216.75523376464844,216.75523376464844,259.0,0.895,,,0.895,0.0,3.7252085649843276,254.60336981989764,False,distance_axis_observed_corner_proxy_not_official_anchor
1010,TSU,Red Bull Racing,42,2,MEDIUM,10.0,P16,low_speed,259.0,112.539306640625,129.66860961914062,0.968,0.944,124.70369134035802,0.98,62.35184567017901,3.721839903152743,155.87961417544753,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P01,medium_speed,278.9922180175781,150.0,209.9959259033203,0.076,0.053,119.25013504873039,0.085,46.66309632341624,4.465336385316904,228.1306931367016,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P02,medium_speed,212.1604766845703,212.1604766845703,256.0,0.099,0.059,207.3915392151833,0.099,0.0,2.7338002828807917,181.46759681328538,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P03,high_speed,261.0359191894531,261.0359191894531,275.0,0.139,,,0.139,0.0,2.7050416721983845,202.2067507348037,False,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P04,high_speed,280.58892822265625,280.58892822265625,292.1105041503906,0.192,,,0.192,0.0,2.136187919653894,171.09801985252622,False,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P05,low_speed,290.6755676269531,86.00597381591797,116.0,0.276,0.246,155.54365441138745,0.29,72.58703872531416,4.967447608593086,191.83717377404454,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P06,low_speed,323.810302734375,55.67071533203125,61.2252082824707,0.505,0.475,155.54365441138745,0.527,114.0653465683508,4.6998173228874505,171.09801985252622,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P07,low_speed,67.71578979492188,67.71578979492188,183.03111267089844,0.507,0.475,165.91323137214664,0.527,103.69576960759164,4.721474082841729,150.3588659310079,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P08,medium_speed,186.48617553710938,186.48617553710938,273.3837585449219,0.537,0.497,207.3915392151833,0.537,0.0,3.03124121095042,197.02196225442412,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P09,high_speed,310.0,310.0,324.6280212402344,0.619,,,0.619,0.0,2.8632968980270213,254.05463553859954,False,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P10,medium_speed,324.08612060546875,147.0040283203125,157.0,0.701,0.675,134.80450048986913,0.733,165.91323137214664,4.0911080105366615,212.5763276955629,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P11,medium_speed,157.0,157.0,215.53221130371094,0.713,0.675,197.02196225442412,0.733,103.69576960759164,2.665520523105312,134.80450048986916,True,distance_axis_observed_corner_proxy_not_official_anchor
1011,TSU,Red Bull Racing,43,2,MEDIUM,11.0,P12,medium_speed,256.1861877441406,174.6967010498047,174.6967010498047,0.813,0.803,51.84788480379582,,,3.657943765820401,254.05463553859954,True,distance_axis_observed_corner_proxy_not_official_anchor
