axis_index,driver,team,lap,stint,compound,tyre_age,position,lap_duration_s,lap_length_m,telemetry_samples,observed_time_s,telemetry_coverage,sample_full_throttle_share,time_full_throttle_share,time_brake_share,time_drs_share,lap_speed_p99_kph,lap_speed_max_kph,lap_speed_median_kph,axis_reconstructed_time_s,axis_time_error_s,deleted,is_accurate,green_or_yellow,pace_eligible,acceleration_150_250_kph_per_100m,straight_max_speed_kph,straight_full_throttle_distance_share,traffic_ratio,traffic_missing_share,traffic_observed_time_s,lap_fraction,clean_air_share,candidate_weight,audited_candidate
587,LAW,Racing Bulls,54,2,HARD,33.0,18,89.375,5210.24387890315,659,89.51499938964844,1.0,0.5660091047040972,0.5504774763890629,0.16714522974266402,0.0,312.0,313.0,224.69395446777344,89.2370823392016,-0.13791766079839363,False,True,True,True,41.53572263317457,313.0,0.9049580472921434,0.0,0.0,89.51499938964844,0.9310344827586207,1.0,1.0,True
588,LAW,Racing Bulls,55,2,HARD,34.0,18,89.20600128173828,5209.099903855921,665,89.3270034790039,1.0,0.5338345864661654,0.5457140830339652,0.16074647221549146,0.0,311.9680078125,313.0,222.95010375976562,88.94241810732956,-0.2635831744087227,False,True,True,True,48.47277553342478,313.0,0.8935450038138825,0.0,0.0,89.3270034790039,0.9482758620689655,1.0,1.0,True
589,LAW,Racing Bulls,56,2,HARD,35.0,18,89.18900299072266,5224.273240408659,675,89.32800295948982,1.0,0.5585185185185185,0.547711832574626,0.18089511050129636,0.0,312.0,313.0,223.0,89.1105412684125,-0.07846172231015203,False,True,True,True,47.415663846753695,312.99932861328125,0.896505530129672,0.0,0.0,89.32800295948982,0.9655172413793104,1.0,1.0,True
590,LAW,Racing Bulls,57,2,HARD,36.0,18,89.02200317382812,5217.621503868819,653,89.16200256347656,1.0,0.5620214395099541,0.552488821211431,0.16151498544235376,0.0,314.0,315.0,225.0,88.94544549889338,-0.07655767493474741,False,True,True,True,45.92332020130495,314.9101257324219,0.9171481693363844,0.0,0.0,89.16200256347656,0.9827586206896551,1.0,1.0,True
591,LEC,Ferrari,2,1,MEDIUM,2.0,4,90.08699798583984,5216.201098946966,686,90.2130012512207,1.0,0.5233236151603499,0.5162448220939103,0.20086909706231568,0.18311104788966645,324.0,325.0,220.6810302734375,89.92702658891331,-0.1599713969265366,False,True,True,True,46.85549462324096,324.9825744628906,0.9791571319603357,1.0,0.0,90.2130012512207,0.034482758620689655,0.0,0.0,False
592,LEC,Ferrari,3,1,MEDIUM,3.0,4,89.68099975585938,5223.552664442002,679,89.81450080871582,1.0,0.5360824742268041,0.5204784474140433,0.19240764736056967,0.17903565539604913,324.0,325.0,227.50999450683594,89.60407779969847,-0.07692195616090203,False,True,True,True,42.92959071608806,324.8845520019531,0.975429061784897,1.0,0.0,89.81450080871582,0.05172413793103448,0.0,0.0,False
593,LEC,Ferrari,4,1,MEDIUM,4.0,4,89.94300079345703,5208.306346573238,676,90.07699966430664,1.0,0.5266272189349113,0.5314563456074995,0.18030129510490872,0.1825216420769025,326.3236541748047,327.0,218.0,89.90312361492914,-0.03987717852788819,False,True,True,True,45.083485615436416,326.9179992675781,0.9849780701754386,1.0,0.0,90.07699966430664,0.06896551724137931,0.0,0.0,False
594,LEC,Ferrari,5,1,MEDIUM,5.0,4,90.06199645996094,5219.188398411975,684,90.18799591064453,1.0,0.5087719298245614,0.5050450138146797,0.1742803199459679,0.08205084780030591,309.7261111450195,311.0,222.53125762939453,90.0103575140451,-0.051638945915840395,False,True,True,True,49.44570810413925,308.8284912109375,0.9789473684210526,1.0,0.0,90.18799591064453,0.08620689655172414,0.0,0.0,False
595,LEC,Ferrari,6,1,MEDIUM,6.0,4,89.73899841308594,5219.254090397359,669,89.87199401855469,1.0,0.5276532137518685,0.5237003024354946,0.17588348690824268,0.08321836155108168,313.017998046875,314.0,221.67999267578125,89.76739685029412,0.028398437208181804,False,True,True,True,43.713487860122555,311.0,0.9884868421052632,1.0,0.0,89.87199401855469,0.10344827586206896,0.0,0.0,False
596,LEC,Ferrari,7,1,MEDIUM,7.0,4,89.6709976196289,5189.976733848572,665,89.80399703979492,1.0,0.5097744360902255,0.5225044855742259,0.16034923783149804,0.1728208417965507,325.0,326.0,222.0,89.3818268715963,-0.28917074803260334,False,True,True,True,45.055018519833325,325.9842834472656,0.9828947368421052,1.0,0.0,89.80399703979492,0.1206896551724138,0.0,0.0,False
597,LEC,Ferrari,8,1,MEDIUM,8.0,4,89.60600280761719,5191.792819288075,692,89.7340030670166,1.0,0.5216763005780347,0.5255533142014657,0.17474972240738787,0.18096819227274077,330.0,332.0,220.41607666015625,89.43909366313486,-0.1669091444823323,False,True,True,True,46.93959883145579,332.0,0.981140350877193,1.0,0.0,89.7340030670166,0.13793103448275862,0.0,0.0,False
598,LEC,Ferrari,9,1,MEDIUM,9.0,4,89.65399932861328,5203.363630851731,676,89.78199768066406,1.0,0.5340236686390533,0.5357086840683466,0.16215961658769198,0.08867036327448571,313.0,314.0,219.0,89.45662906595285,-0.1973702626604279,True,True,True,True,41.13456072612833,310.0,0.9662995804729214,1.0,0.0,89.78199768066406,0.15517241379310345,0.0,0.0,False
599,LEC,Ferrari,10,1,MEDIUM,10.0,4,89.62999725341797,5194.491865019113,680,89.75799942016602,1.0,0.5485294117647059,0.543171682075466,0.1590944467165311,0.09046550501389297,314.1194387817383,315.0,221.0,89.49812388191576,-0.13187337150220912,False,True,True,True,48.70312844170101,310.92236328125,0.9864035087719297,1.0,0.0,89.75799942016602,0.1724137931034483,0.0,0.0,False
600,LEC,Ferrari,11,1,MEDIUM,11.0,4,89.90899658203125,5208.613457521022,698,90.03599739074707,1.0,0.5544412607449857,0.5564328817202948,0.16126886204119145,0.0,314.0807482910156,316.0,221.86111450195312,89.75401199174767,-0.15498459028357559,False,True,True,True,43.017944175346955,316.0,0.9884868421052632,1.0,0.0,90.03599739074707,0.1896551724137931,0.0,0.0,False
601,LEC,Ferrari,12,1,MEDIUM,12.0,4,90.05699920654297,5197.938709465267,691,90.18499836325645,1.0,0.532561505065123,0.5236015777958131,0.167211796926922,0.0,311.8404510498047,312.0,222.38436889648438,89.87593061827133,-0.18106858827164274,False,True,True,True,48.56117059782039,312.0,0.974780701754386,1.0,0.0,90.18499836325645,0.20689655172413793,0.0,0.0,False
602,LEC,Ferrari,13,1,MEDIUM,13.0,4,89.93800354003906,5208.73968686238,666,90.06600570678711,1.0,0.5345345345345346,0.5301890273310382,0.176792561565282,0.0,311.0,312.0,223.4776153564453,89.82041402334104,-0.11758951669801831,False,True,True,True,29.32062434029677,312.0,0.9776125095347062,0.4296182554171463,0.0,90.06600570678711,0.22413793103448276,0.5703817445828536,0.32533533455337965,False
603,LEC,Ferrari,14,1,MEDIUM,14.0,4,90.05400085449219,5214.315084156396,668,90.18500089645386,1.0,0.5149700598802395,0.530709081988417,0.17032763235747078,0.0,310.0,312.0,216.62857055664062,90.09152114890325,0.03752029441106686,False,True,True,True,43.33865918366526,311.921875,0.9831140350877193,0.9739313442797294,0.0,90.18500089645386,0.2413793103448276,0.026068655720270617,0.000679574811061998,False
604,LEC,Ferrari,15,1,MEDIUM,15.0,4,89.99800109863281,5215.053975566328,692,90.12600135803223,1.0,0.5375722543352601,0.5422296739262635,0.16065290998064188,0.0,310.0075009155274,312.0,221.5,90.07627981765467,0.0782787190218528,False,True,True,True,41.17960564941042,311.957763671875,0.9739940884820748,0.6346669783008674,0.0,90.12600135803223,0.25862068965517243,0.3653330216991326,0.1334682167438189,False
605,LEC,Ferrari,18,2,HARD,2.0,9,89.87200164794922,5231.849155179665,668,90.00200271606445,1.0,0.5344311377245509,0.5173441895082477,0.20040669066057853,0.0,313.020625,314.0,224.125,89.84717203812203,-0.02482960982719362,False,True,True,True,40.14582976959332,314.0,0.9801439740655988,0.6701517813074245,0.0,90.00200271606445,0.3103448275862069,0.3298482186925755,0.10879984737466512,False
606,LEC,Ferrari,19,2,HARD,3.0,8,89.52899932861328,5206.395269121602,661,89.65900039672852,1.0,0.518910741301059,0.5001840279023156,0.17217448975515165,0.0932533054873496,330.6341125488281,332.0,219.0,89.2305406843061,-0.29845864430717484,False,True,True,True,51.90425921818655,331.7726135253906,0.9759868421052631,0.9399948578022342,0.0,89.65900039672852,0.3275862068965517,0.06000514219776576,0.003600617090174089,False
607,LEC,Ferrari,20,2,HARD,4.0,5,89.25599670410156,5208.640258458377,687,89.38499760627747,1.0,0.512372634643377,0.5065055305736688,0.1799407386646553,0.0944229887870607,329.811875,332.0,219.5,89.17025548758383,-0.08574121651773225,False,True,True,True,41.30722032567631,331.8890686035156,0.9796052631578948,1.0,0.0,89.38499760627747,0.3448275862068966,0.0,0.0,False
608,LEC,Ferrari,21,2,HARD,5.0,5,89.05500030517578,5233.435431038975,674,89.18500030040741,1.0,0.5474777448071216,0.5356843299634689,0.18883218694702675,0.0,309.5456231689453,310.0,226.1666717529297,89.23333904946398,0.1783387442881974,False,True,True,True,44.55991669191415,310.0,0.9802631578947368,0.9774738031722535,0.0,89.18500030040741,0.3620689655172414,0.02252619682774648,0.0005074295435223756,False
609,LEC,Ferrari,22,2,HARD,6.0,5,88.89099884033203,5212.146449395195,668,89.02099800109863,1.0,0.5194610778443114,0.5174171630870428,0.17299282731825696,0.0,310.31399383544925,311.0,227.0,88.75817307342659,-0.1328257669054409,False,True,True,True,47.43168826022293,311.0,0.96345823798627,1.0,0.0,89.02099800109863,0.3793103448275862,0.0,0.0,False
610,LEC,Ferrari,23,2,HARD,7.0,5,89.59500122070312,5218.866523620486,690,89.72400116920471,1.0,0.5376811594202898,0.5294347414273032,0.16405852083913317,0.0,308.0,309.0,226.6125030517578,89.51340182435844,-0.08159939634468572,False,True,True,True,45.894802558693875,308.9588928222656,0.9902412280701754,0.9859569534894342,0.0,89.72400116920471,0.39655172413793105,0.01404304651056576,0.00019720715529791317,False
611,LEC,Ferrari,24,2,HARD,8.0,4,89.01899719238281,5212.207626352303,655,89.15049743652344,1.0,0.5465648854961832,0.532363819062751,0.1897914264397824,0.09737464285818202,329.0,330.0,226.0,88.79861174100823,-0.22038545137458243,False,True,True,True,46.51695485164542,330.0,0.9375524408848207,0.3959708549341411,0.0,89.15049743652344,0.41379310344827586,0.6040291450658589,0.36485120808899246,False
612,LEC,Ferrari,25,2,HARD,9.0,4,88.1709976196289,5212.640839033597,678,88.29999923706055,1.0,0.5353982300884956,0.5369422112240664,0.15403178511200974,0.0,309.7144692993164,311.0,223.13593292236328,88.08638172205696,-0.08461589757195043,False,True,True,True,46.692827578073285,310.8960876464844,0.9822368421052632,0.03045294886253546,0.0,88.29999923706055,0.43103448275862066,0.9695470511374645,0.9400214843693533,True
